,Source,Filter,SMARTS,Filter Family ID,Head of filter family?,Filter Classification H0: p=p0 Exact Test,GSK Recommendation,Filter Recommendations from this Work,N Total,N Noisy,Fraction_Noisy,FILTER_IFI_Median,FILTER_IFI_StdDevSample,0 ≥ IFI,1 ≥ IFI > 0,2 ≥ IFI > 1,5 ≥ IFI > 2,10 ≥ IFI > 5,IFI > 10,Exact_test_no_lessthan,95% CI Lower Limit Wilson,95% CI Upper Limit Wilson,Kappa,Selectivity,Specificity
12,NIH;BMS,phenolate_bis_EWG;bis_activated_aryl_ester,"O=[C,S]Oc1aaa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1",Unique,Y,Potentially useful,Remove,Use Filter,18,15,0.8333,4.305,5.6129,2,1,0,9,3,3,0.0001,0.6078,0.9416,7.62e-05,0.0045,99.9999
13,NIH;BMS,maleimide_etc,"[$([C;H1]),$(C(-[F,Cl,Br,I]))]1=[$([C;H1]),$(C(-[F,Cl,Br,I]))]C(=O)[N,O,S]C(=O)1",32,Y,Potentially useful,Remove,Use Filter,139,115,0.8273,7.14,6.2747,8,7,9,26,43,46,0.0001,0.7559,0.8811,0.000583,0.0345,99.9989
14,PainsB,thio_carbonate_A,"[O,S]=c1sc2cc([N,O])ccc2o1",Unique,Y,Potentially useful,Remove,Use Filter,99,80,0.8081,4.9,5.3032,1,2,16,32,31,17,0.0001,0.7196,0.8735,0.000404,0.024,99.9992
15,Lilly,8_hydroxyquinoline,[OD1]c1cccc2cccnc12,Unique,Y,Potentially useful,Extreme Caution,Use Filter,896,721,0.8047,4.81,3.423,32,58,85,298,357,66,0.0001,0.7775,0.8293,0.00363,0.2165,99.9922
16,GSK_CTC,CTC_Thiazolequinolineamine,N(c1ccccc1)c1ccnc2cc(ccc12)-c1nccs1,Unique,Y,Potentially useful,Extreme Caution,Use Filter,42,32,0.7619,3.965,3.4539,1,3,6,12,16,4,0.0001,0.6147,0.8652,0.00016,0.0096,99.9996
17,NIH;BMS,3halo_pyridazine_2EWG,"[#7;R1]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6][#7]1",Unique,Y,Potentially useful,Remove,Use Filter,16,12,0.75,6.3,9.2231,2,2,0,3,3,6,0.0001,0.505,0.8982,5.97e-05,0.0036,99.9998
18,PainsB,catechol_A,c1ccc(c(c1)[OH])[OH],Unique,Y,Potentially useful,Extreme Caution,Use Filter,1649,1186,0.7192,2.96,3.5564,20,78,365,787,283,116,0.0001,0.697,0.7404,0.00583,0.3562,99.9795
19,PainsB,anil_alk_ene,c1cccc2NCC3CC=CC3c12,30,Y,Potentially useful,Extreme Caution,Use Filter,202,145,0.7178,3.215,3.2077,8,20,29,91,43,11,0.0001,0.6521,0.7754,0.000715,0.0435,99.9975
21,NIH;BMS,ortho_hydroquinone,"a1c([O,S;D1])c([O,S;D1])a[cH1][cH1]1",Unique,Y,Potentially useful,Remove,Use Filter,48,33,0.6875,3.57,3.5107,2,2,11,14,14,5,0.0001,0.5467,0.8005,0.000161,0.0099,99.9993
23,GSK_CTC,CTC_Nitrothienylpropene,[#6][C;!H0]=[C;!H0]c1ccc(s1)N(~[OD1])~[OD1],Unique,Y,Potentially useful,Remove,Use Filter,35,23,0.6571,5.21,4.2365,4,6,2,4,14,5,0.0001,0.4915,0.7917,0.000111,0.0069,99.9995
24,PainsB,cyano_pyridone_A,N#Cc1c(=S)[nH]aaa1,Unique,Y,Potentially useful,Extreme Caution,Use Filter,56,36,0.6429,2.685,1.6657,2,8,10,29,7,0,0.0001,0.5119,0.7554,0.000173,0.0108,99.9991
25,ChEMBL,Filter34_isotope,"[2H,3H,13C,14C,15N,125I,23F,22Na,32P,33P,35S,45Ca,57Co,103Ru,141Ce]",Unique,Y,Potentially useful,Extreme Caution,Use Filter,14,9,0.6429,3.48,3.372,3,0,2,5,3,1,0.0001,0.3876,0.8366,4.32e-05,0.0027,99.9998
26,GSK_CTC,CTC_Nitrofuranylpropene,[#6][C;!H0]=[C;!H0]c1ccc(o1)N(~[OD1])~[OD1],Unique,Y,Potentially useful,Remove,Use Filter,78,50,0.641,3.185,3.7843,7,9,12,19,22,9,0.0001,0.5303,0.7385,0.00024,0.015,99.9988
27,GSK_CTC,CTC_O-Sulphonamide_benzamide,"[$(O=C(Nc1ccccc1)c1ccccc1NS(=O)(=O)c1ccccc1),$(c1ccccc1S(=O)(=O)[NH]c2ccccc2C(=O)[NH]c3ccccc3)]",Unique,Y,Potentially useful,Remove,Use Filter,611,386,0.6318,4.29,6.8838,114,57,54,89,94,203,0.0001,0.5928,0.6691,0.00184,0.1159,99.99
28,PainsB,ene_five_het_D,C1(=C)C(=O)NNC1=O,Unique,Y,Potentially useful,Extreme Caution,Use Filter,260,162,0.6231,3.07,2.423,29,16,53,114,43,5,0.0001,0.5628,0.6798,0.000772,0.0487,99.9957
30,Lilly,quinone_para,"[O,N,S]=C1-[#6]=,:[#6]-C(=[O,N,S])-[#6]~[#6]1",35,Y,Potentially useful,Remove,Use Filter,132,80,0.6061,2.835,6.8182,31,15,6,33,23,24,0.0001,0.5208,0.6853,0.000378,0.024,99.9977
32,ChEMBL,Filter71_thio_anhydride,"*C(=[O,S])[O,S]C(=[O,S])*",Unique,Y,Potentially useful,Extreme Caution,Use Filter,30,18,0.6,2.45,2.9326,3,3,6,8,10,0,0.0001,0.4232,0.7541,8.49e-05,0.0054,99.9995
33,Lilly,azapteridine,n1c(=O)nc(=O)c2ncnnc12,41,Y,Potentially useful,Remove,Use Filter,52,31,0.5962,3.705,11.121,7,5,9,6,1,24,0.0001,0.4607,0.7184,0.000146,0.0093,99.9991
34,PainsB,sulfonamide_B,S(=O)(=O)[NH]c1ccc([OH])cc1,Unique,Y,Potentially useful,Remove,Use Filter,390,230,0.5897,2.54,6.6319,20,66,74,124,51,55,0.0001,0.5403,0.6375,0.00108,0.0691,99.9929
35,Lilly,amino_naphthalene,"[NX3!$(*A=A);$([NH1]),$([NH2])]!@[c;$(c1cccc2ccccc12),$(c1ccc2ccccc2c1)]",Unique,Y,Potentially useful,Extreme Caution,Use Filter,1320,775,0.5871,2.215,3.6859,107,206,232,574,153,48,0.0001,0.5603,0.6134,0.00362,0.2328,99.9758
36,GSK_CTC,CTC_Thiooxopyrimidinedione,[#6]C=C1C(=O)NC(=S)NC1=O,Unique,Y,Potentially useful,Extreme Caution,Use Filter,203,119,0.5862,2.65,3.9771,25,24,35,60,44,15,0.0001,0.5175,0.6517,0.000558,0.0357,99.9963
37,PainsB,pyrrole_B,[CX4]c1ccc(cc)n1c2acccc2,Unique,Y,Potentially useful,Extreme Caution,Use Filter,616,360,0.5844,2.355,3.316,48,78,130,221,100,39,0.0001,0.5451,0.6227,0.00168,0.1081,99.9886
38,Lilly,9_aminoacridine,N-c1c2c([nH0]c3c1cccc3)cccc2,33,Y,Potentially useful,Extreme Caution,Use Filter,201,114,0.5672,2.26,3.3046,26,26,35,75,31,8,0.0001,0.498,0.6338,0.000529,0.0342,99.9961
41,PainsB,ene_rhod_B,"S1C(=O)NC(=O)C1=[CH][#6;$(CBr),$(c[cH]c[F,Cl,Br,I]),$(c[cH][cH]cS[CH2,CH3]),$(ccccccccccO[CH2,CH3]),$(c2c([CH2,CH3])n([CH2,CH3])c([CH2,CH3])c2)]",Unique,Y,Potentially useful,Extreme Caution,Use Filter,170,95,0.5588,2.65,3.615,15,20,40,55,33,7,0.0001,0.4837,0.6313,0.000439,0.0285,99.9967
42,NIH;BMS,thio_hydroxamate,"[S;D2]([$(N(=C)),$(N(-S(=O)(=O))),$(N(-C(=O)))])",Unique,Y,Potentially useful,Extreme Caution,Use Filter,86,48,0.5581,2.745,3.6719,15,12,11,27,16,5,0.0001,0.4529,0.6584,0.000222,0.0144,99.9983
43,NIH,saponin,O1CCCCC1OC2CCC3CCCCC3C2,Unique,Y,Potentially useful,Remove,Use Filter,46,25,0.5435,9.525,7.9268,19,2,0,0,4,21,0.0001,0.4018,0.6785,0.000115,0.0075,99.9991
44,Lilly,bis_aryl_maleimide,N1C(=O)C(c)=C(c)C1(=O),Unique,Y,Potentially useful,Extreme Caution,Use Filter,328,178,0.5427,2.545,3.1414,42,48,60,87,78,13,0.0001,0.4886,0.5958,0.000815,0.0535,99.9933
45,GSK_CTC,CTC_P-nitrosulfur,[#6]Sc1ccc(cc1)N(~[OD1])~[OD1],Unique,Y,Potentially useful,Extreme Caution,Use Filter,2450,1319,0.5384,2.075,2.9748,357,319,455,923,332,64,0.0001,0.5186,0.558,0.006,0.3961,99.9498
48,GSK_CTC,CTC_Dihydropyrazoleone,[#6]C=C1C([#6])=NN(C1=O)c1ccccc1,Unique,Y,Potentially useful,Extreme Caution,Use Filter,567,301,0.5309,2.16,3.135,93,67,106,202,77,22,0.0001,0.4897,0.5716,0.00137,0.0904,99.9882
49,ChEMBL,Filter15_thiosulfate,[SX4](~S)(~O)(~O)~*,Unique,Y,Potentially useful,Extreme Caution,Use Filter,21,11,0.5238,2.26,2.7392,3,6,1,6,5,0,0.0001,0.3237,0.7166,4.98e-05,0.0033,99.9996
50,ZINC15,disulfide_hot,"S-,:S",21,Y,Potentially useful,Extreme Caution,Use Filter,637,331,0.5196,2.14,3.3742,87,101,118,200,98,33,0.0001,0.4808,0.5582,0.00149,0.0994,99.9864
51,GSK_CTC,CTC_Thiazolidinedione,"[$([$([#1,*])]N1C(=S)SC(=Ca)C1=O),$([nX3]1sccc1=O)]",11,Y,Potentially useful,Remove,Use Filter,1249,640,0.5124,2.08,4.9747,258,146,205,311,176,153,0.0001,0.4847,0.54,0.00287,0.1922,99.973
52,GSK_CTC,CTC_Dimethoxyaniline,"[#6;D1]Oc1ccc([$([NH]([c,CX4])[c,CX4])])cc1O[#6;D1]",Unique,Y,Potentially useful,Extreme Caution,Use Filter,1010,511,0.5059,2.075,3.0026,195,133,171,285,201,25,0.0001,0.4751,0.5367,0.00228,0.1535,99.9779
54,GSK_CTC,CTC_Phenazine,[#7]c1ccc2nc3ccccc3nc2c1,Unique,Y,Potentially useful,Remove,Use Filter,14,7,0.5,1.735,5.7339,3,2,2,2,2,3,0.0017,0.268,0.732,3.12e-05,0.0021,99.9997
55,PainsB,hzone_acyl_naphthol,[OH]c1[cH]c2[cH][cH][cH][cH]c2[cH]c1C(=O)[NH]N=C,Unique,Y,Potentially useful,Remove,Use Filter,10,5,0.5,1.935,3.5446,1,1,3,4,0,1,0.0101,0.2366,0.7634,2.23e-05,0.0015,99.9998
57,NIH;BMS,activated_acetylene,"[$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))]C#[C;!$(C-N);!$(C-n)]",29,Y,Potentially useful,Extreme Caution,Use Filter,342,166,0.4854,1.92,4.7035,85,49,42,67,56,43,0.0001,0.4329,0.5382,0.000732,0.0499,99.9922
68,GSK_CTC,CTC_Nitrobenzodioxazole,"[$([OD1]~N(~[OD1])c1cccc2nonc12),$(O=N(=O)c1cccc2nonc12)]",Unique,Y,Potentially useful,Extreme Caution,Use Filter,396,181,0.4571,1.41,7.2485,104,62,49,67,39,75,0.0001,0.4087,0.5063,0.00078,0.0544,99.9905
81,ChEMBL,o-tertbutylphenol,c1c([OH1])c(C(C)(C)C)ccc1,Unique,Y,Potentially useful,Extreme Caution,Use Filter,699,296,0.4235,1.45,5.6071,139,144,120,133,66,97,0.0001,0.3873,0.4604,0.00124,0.0889,99.9821
88,Lilly,pyrrole_vinylidene,[N;r5]1=C-C=C-C1=*,Unique,Y,Potentially useful,Extreme Caution,Use Filter,69,28,0.4058,1.11,4.5464,22,10,9,12,8,8,0.0001,0.2979,0.5236,0.000115,0.0084,99.9982
97,PainsB,cyano_pyridone_B,N#Cc1c(=O)nc([!#6])nc1C,Unique,Y,Potentially useful,Extreme Caution,Use Filter,18,7,0.3889,1.01,5.2391,4,5,2,3,2,2,0.0102,0.2031,0.6138,2.81e-05,0.0021,99.9995
108,ChEMBL,Filter23_ortho_quinone,C1(C=CC=CC1=O)=O,Unique,Y,Ambiguous,Extreme Caution,Use Filter,11,4,0.3636,1.12,5.764,4,1,2,1,0,3,0.0857,0.1517,0.6462,1.55e-05,0.0012,99.9997
110,GSK_CTC,CTC_Pyridoguanidine,"[$([#7]-,=C(!@-,!@=N!@-,!@:c:1n:a:a:a:a:1)!@-,!@=N!@-,!@:c:1:a:a:a:a:a:1),$([nX2r6]([c!$(c[OH])!$(c=O)])c[N;$(N=C([NH2])[NH]a),$([NH]C([NH2])=Na)])]",Unique,Y,Potentially useful,Extreme Caution,Use Filter,530,192,0.3623,0.875,7.3524,170,107,61,54,58,80,0.0001,0.3225,0.404,0.000743,0.0577,99.985
123,ZINC15,vinyl-chloride_named-functional-group,"[CX3]=,~[CX3]Cl",Unique,Y,Potentially useful,Extreme Caution,Use Filter,695,234,0.3367,0.7,5.293,213,145,103,100,54,80,0.0001,0.3025,0.3726,0.000867,0.0703,99.9796
131,BMS,CH2_S#O_3_ring,"[CH2]1[O,S]C1",43,Y,Potentially useful,Extreme Caution,Use Filter,59,19,0.322,1.13,6.3959,21,7,12,6,2,11,0.0002,0.2169,0.4489,6.85e-05,0.0057,99.9982
61,PainsB,anthranil_one_A,c1cccc(C(=O)cc)c1[NH;!$(NC=O)],Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,203,97,0.4778,1.71,3.3566,34,35,37,56,31,10,0.0001,0.4102,0.5463,0.000426,0.0291,99.9953
63,NIH;BMS,peroxide,[#8]~[#8],47,Y,Potentially useful,Proceed With Caution,Use Filter with caution,15,7,0.4667,1.87,2.1137,2,0,6,5,2,0,0.0029,0.2481,0.6988,3.05e-05,0.0021,99.9996
65,NIH;BMS,trichloromethyl_ketone,[$(C(=O));!$(C-N);!$(C-O);!$(C-S)]C(Cl)(Cl)(Cl),Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,43,20,0.4651,1.88,2.9438,3,8,12,15,3,2,0.0001,0.3251,0.6108,8.69e-05,0.006,99.999
66,GSK_CTC,CTC_Maleimide,O=C1NC(=O)C=C1,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,2318,1070,0.4616,1.89,4.1829,319,360,569,651,249,170,0.0001,0.4414,0.4819,0.00461,0.3214,99.9446
67,GSK_CTC,CTC_Chromenooxazinone,C1NCc2ccccc2O1,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1456,667,0.4581,1.65,3.7314,392,209,188,296,267,104,0.0001,0.4327,0.4838,0.00287,0.2003,99.965
69,BMS,trisub_bis_act_olefin_BMS,"[$([CH;!R]);!$(C-N)]=C([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])",15,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1103,492,0.4461,1.67,3.0899,172,193,246,313,135,44,0.0001,0.417,0.4755,0.0021,0.1478,99.9729
71,PainsA,hzone_phenol_B,c1(ccc(cc1)C=NN)[OH],Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,722,320,0.4432,1.65,2.1707,118,118,166,249,64,7,0.0001,0.4074,0.4797,0.00136,0.0961,99.9822
72,PainsB,cyano_imine_A,"[NH]N=C(C#N)C=[O,N,S;!R]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,79,35,0.443,1.64,3.6057,15,8,21,22,7,6,0.0001,0.3387,0.5527,0.000149,0.0105,99.998
73,NIH;ChEMBL,thioketone;Filter73_thio_ketone,CC(=S)C,37,Y,Potentially useful,Proceed With Caution,Use Filter with caution,107,47,0.4393,1.27,2.3343,23,18,19,29,18,0,0.0001,0.3489,0.5338,0.0002,0.0141,99.9973
75,NIH;BMS,2halo_pyrimidine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#7][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,41,18,0.439,1.83,3.1819,3,9,11,13,3,2,0.0001,0.2989,0.5896,7.64e-05,0.0054,99.999
77,PainsA,hzone_phenol_A,c1ccc(c(c1)[OH])C=NN,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1111,484,0.4356,1.64,2.3532,211,179,237,348,124,12,0.0001,0.4068,0.465,0.00204,0.1454,99.9722
78,PainsB,ene_five_het_C,"[#6]1([#6]([#6]=,:[#6][#7,#8,#16]1)=C)=[O,N,S]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1169,508,0.4346,1.67,3.1663,223,184,254,354,123,31,0.0001,0.4064,0.4631,0.00214,0.1526,99.9707
82,PainsB,sulfonamide_A,"NS(=O)(=O)c1c([OH])c([F,Cl,Br,I])[cH]c([F,Cl,Br,I])[cH]1",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,50,21,0.42,1.275,5.0435,12,9,8,11,6,4,0.0001,0.2938,0.5577,8.75e-05,0.0063,99.9987
83,NIH;BMS,secondary_halide_sulfate,"[CH;!$(C=C)][Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,12,5,0.4167,1.95,4.1884,4,0,3,3,1,1,0.0255,0.1933,0.6805,2.08e-05,0.0015,99.9997
84,NIH;BMS,misc_3_iodine;gte_3_iodine,[#53].[#53].[#53],Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,157,65,0.414,1.64,2.5845,31,23,38,43,17,5,0.0001,0.3399,0.4922,0.000269,0.0195,99.9959
85,NIH;BMS,4halo_pyrimidine_5EWG,"[#7]1[#6][#7;R1][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,34,14,0.4118,1.925,1.4814,6,5,9,13,1,0,0.0001,0.2637,0.5778,5.78e-05,0.0042,99.9991
89,PainsB,imidazole_A,c1ccccc1c2c(c3ccccc3)nc([nH]2)ca,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,304,123,0.4046,1.6,1.8978,46,48,87,102,20,1,0.0001,0.351,0.4606,0.000504,0.0369,99.992
90,ChEMBL,R9_Paranitrophenyl_esters,C(=O)Oc1ccc(N(=O)~[OX1])cc1,42,Y,Potentially useful,Proceed With Caution,Use Filter with caution,72,29,0.4028,1.115,3.6919,14,17,12,19,7,3,0.0001,0.2972,0.5182,0.000119,0.0087,99.9981
91,NIH;BMS,ortho_nitrophenyl_carbonyl,"[#6]1(-O-[C;!R](=[O,N;!R]))[#6]([$(N(=O)(=O)),$([N+](=O)[O-])])[#6][#6][#6][#6]1",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,25,10,0.4,0.56,3.9977,9,5,1,7,2,1,0.0013,0.234,0.5926,4.07e-05,0.003,99.9993
94,PainsB,thiaz_ene_A,"[N;!R]=c1s[c;$([cH]),$(c[CH2]),$(cC=O)][c;$(c[CH2]),$(c-cc)][n;$([nH]),$(n[C!H0]),$(n-cc)]1",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,415,164,0.3952,1.6,2.5186,63,73,115,123,34,7,0.0001,0.3493,0.443,0.000664,0.0493,99.9889
96,NIH,free_thiol,[SH],13,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1417,555,0.3917,1.64,1.8785,131,233,498,476,73,6,0.0001,0.3666,0.4173,0.00223,0.1667,99.9618
98,NIH,polyazoanthracene,"c12:[c,n]:[c,n]:[c,n]:[c,n]:c1[c,n]c3:[c,n]:[c,n]:[c,n]:[c,n]:c3[c,n]2",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1501,583,0.3884,1.31,2.9774,371,247,300,413,119,51,0.0001,0.3641,0.4133,0.00233,0.1751,99.9593
99,Lilly,michael_thione,[SD1]=C-C=C,36,Y,Potentially useful,Proceed With Caution,Use Filter with caution,160,62,0.3875,1.24,2.0763,34,29,35,47,15,0,0.0001,0.3155,0.4648,0.000249,0.0186,99.9957
100,ChEMBL,Filter68_anthracene_acridine,a1aaac2cc3ccccc3cc12,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,359,137,0.3816,1.37,2.4654,68,63,91,106,22,9,0.0001,0.3329,0.4329,0.000545,0.0411,99.9902
101,Lilly,dihydro_pyrrolidone,"N1[C,N]=CCC(=O)1",10,Y,Potentially useful,Proceed With Caution,Use Filter with caution,2128,807,0.3792,1.275,2.9497,497,400,424,524,227,56,0.0001,0.3588,0.4,0.00319,0.2424,99.9414
103,PainsB,ene_five_het_E,"NC=!@C1C(=O)c2ccccc2[O,N,S]1",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,16,6,0.375,0.81,2.3605,6,2,2,5,1,0,0.023,0.1848,0.6136,2.37e-05,0.0018,99.9996
104,PainsB,thiophene_amino_Aa,[NH2]c1sc(*)c(*)c1C=O,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,201,75,0.3731,1.6,1.4739,26,43,57,68,7,0,0.0001,0.3092,0.4418,0.000295,0.0225,99.9944
105,ChEMBL,aromatic_Sulfonic_ester,"[#6,#7]-S(=O)(=O)Oc",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,35,13,0.3714,1.38,2.0686,10,5,7,11,2,0,0.0005,0.2317,0.5366,5.1e-05,0.0039,99.999
106,NIH;BMS,perhalo_dicarbonyl_phenyl,"c1(C=O)c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c1(C=O)",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,27,10,0.3704,1.62,2.1757,4,3,10,9,0,1,0.0026,0.2153,0.5577,3.92e-05,0.003,99.9992
111,ChEMBL-fixes,Filter82_pyridinium-fixed,"[c,n]1[c,n][c,n][c,n][c,n][n+](C)1",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,36,13,0.3611,1.47,3.7489,10,5,8,10,1,2,0.0007,0.2248,0.5242,5.03e-05,0.0039,99.999
112,NIH;BMS,hydrazine,[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))]-[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))],Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,370,133,0.3595,1.19,1.547,87,64,86,120,13,0,0.0001,0.3122,0.4096,0.000512,0.0399,99.9895
113,PainsA,anil_di_alk_B,c1c(ccc(c1)C=C)N([CX4])[CX4],Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,784,281,0.3584,1.225,3.3503,173,157,173,198,57,26,0.0001,0.3256,0.3926,0.00108,0.0844,99.9777
115,NIH;BMS,4halo_pyridine_3EWG,"[#7;R1]1[#6;!$(c=O);!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6;!$(c=O);!$(c-N)]1",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,255,90,0.3529,1.14,3.7016,76,32,57,48,31,11,0.0001,0.2969,0.4134,0.000343,0.027,99.9927
116,ZINC15,7+_fluorines_too-greasy,F.F.F.F.F.F.F,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1082,381,0.3521,1.16,3.2172,260,211,230,238,101,42,0.0001,0.3242,0.3811,0.00145,0.1144,99.9689
117,Lilly,f2_c_o2,FC(F)(O)O,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,262,92,0.3511,1.32,2.3467,61,37,72,70,15,7,0.0001,0.2959,0.4107,0.00035,0.0276,99.9925
